User_ID,True_Label,Pred_Label,Is_Correct,Confidence
user_07e574b2,9,9,Correct,0.3366
user_080d10e9,15,15,Correct,0.6936
user_084ce539,6,12,Wrong,0.3059
user_08785d86,28,29,Wrong,0.1151
user_088778f7,18,19,Wrong,0.1887
user_08a1e7cd,7,0,Wrong,0.8008
user_08d07a9d,30,31,Wrong,0.1782
user_090de3c4,7,16,Wrong,0.1350
user_0920b2b5,31,18,Wrong,0.2397
user_09251cc9,24,25,Wrong,0.4595
user_09376c3f,26,17,Wrong,0.4297
user_0939608f,28,28,Correct,0.4650
user_09433178,13,9,Wrong,0.0947
user_09793d18,9,2,Wrong,0.1183
user_097f7403,3,7,Wrong,0.1579
user_09b0f528,23,11,Wrong,0.0926
user_09bb0c89,14,14,Correct,0.2786
user_09dbf5de,11,11,Correct,0.1113
user_0a36ec73,3,9,Wrong,0.1605
user_0a4990ad,8,8,Correct,0.9958
user_0a7f3c62,24,24,Correct,0.6831
user_0a839c80,24,31,Wrong,0.0736
user_0a851218,15,15,Correct,0.8522
user_0a8c3322,20,25,Wrong,0.2080
user_0a93bb97,9,9,Correct,0.9714
user_0aa24a86,30,31,Wrong,0.6012
user_0aa401cd,10,28,Wrong,0.4137
user_0aa9e025,13,13,Correct,0.3475
user_0ad2eace,30,28,Wrong,0.1358
user_0adba45c,18,12,Wrong,0.2749
user_0b2c275b,27,16,Wrong,0.0798
user_0b3db3a9,20,21,Wrong,0.2397
user_0b51ba66,11,17,Wrong,0.0822
user_0b6126d6,10,8,Wrong,0.3141
user_0b8b66c6,4,4,Correct,0.8290
user_0bc9fe0e,13,13,Correct,0.1813
user_0bcff647,20,20,Correct,0.5668
user_0bd1276a,31,31,Correct,0.6072
user_0c54eb54,25,22,Wrong,0.1235
user_0c691b06,7,7,Correct,0.1841
user_0c6f7131,21,13,Wrong,0.1131
user_0c7c4cc1,0,0,Correct,0.8456
user_0c840529,12,12,Correct,0.8126
user_0c88b35d,8,8,Correct,0.3726
user_0d1081cf,9,9,Correct,0.7910
user_0d4b13c6,19,19,Correct,0.4758
user_0d71ddc1,28,28,Correct,0.6233
user_0d993448,6,6,Correct,0.9432
user_0debbad8,10,10,Correct,0.5329
user_0dfb115e,0,3,Wrong,0.6041
user_0e1805ca,17,6,Wrong,0.1719
user_0e22c69a,10,10,Correct,0.4982
user_0e669d0c,14,14,Correct,0.9432
user_0f0d9bc5,22,22,Correct,0.7935
user_0f40e3a4,1,1,Correct,0.6559
user_0f58d4be,11,0,Wrong,0.0901
user_0f5f5078,21,20,Wrong,0.2099
user_0f67716d,4,9,Wrong,0.0632
user_0f94bd94,31,31,Correct,0.8996
user_0faebcb7,1,16,Wrong,0.5734
user_0fbba2e7,13,16,Wrong,0.5185
user_10078d2e,6,6,Correct,0.4546
user_10138f70,7,5,Wrong,0.1069
user_1053305d,17,17,Correct,0.2903
user_1060e400,15,15,Correct,0.8595
user_10cb7fc7,23,2,Wrong,0.4084
user_110f044a,4,4,Correct,0.3156
user_113a28e1,27,25,Wrong,0.2387
user_1164a8c8,28,28,Correct,0.5662
user_117dc164,20,20,Correct,0.5937
user_118837a7,12,10,Wrong,0.1982
user_11a7884b,13,16,Wrong,0.3600
user_11ac7eaf,6,6,Correct,0.2020
user_11fe21ba,17,17,Correct,0.7701
user_1215c11c,25,23,Wrong,0.2754
user_12323ce3,11,10,Wrong,0.5908
user_123b3a55,0,0,Correct,0.2390
user_124026a5,29,28,Wrong,0.2522
user_126610ea,8,8,Correct,0.8695
user_12a1a33a,26,26,Correct,0.2650
user_12b8d794,1,0,Wrong,0.2190
user_13000006,25,25,Correct,0.1924
user_130ebc0e,29,1,Wrong,0.1264
user_131204ae,7,12,Wrong,0.7283
user_13218ab4,29,11,Wrong,0.1124
user_13257296,27,23,Wrong,0.3195
user_13aa4f3e,31,29,Wrong,0.2006
user_13db26db,6,6,Correct,0.9472
user_13f1924a,18,1,Wrong,0.4580
user_13f7c11a,26,29,Wrong,0.2427
user_140a56ef,6,6,Correct,0.7533
user_14572d8a,14,10,Wrong,0.4842
user_145c13e0,7,9,Wrong,0.1339
user_147f50ad,27,27,Correct,0.2790
user_14826dab,18,18,Correct,0.1313
user_14b8e331,26,5,Wrong,0.2887
user_14c7e787,28,30,Wrong,0.2614
user_1553eaca,18,18,Correct,0.2866
user_157578d4,29,27,Wrong,0.2104
user_158ebc8b,29,22,Wrong,0.2671
user_1596973f,10,12,Wrong,0.2440
user_159c4f1d,6,11,Wrong,0.1262
user_15b0a5e4,18,18,Correct,0.1235
user_15c7c170,26,27,Wrong,0.1842
user_15d3bc0f,14,22,Wrong,0.5350
user_16033b01,18,14,Wrong,0.1618
user_16090851,7,2,Wrong,0.1751
user_161c56a9,24,19,Wrong,0.1520
user_1632d9b5,5,5,Correct,0.0651
user_16857378,15,15,Correct,0.8126
user_16963276,6,5,Wrong,0.0759
user_16e12a5b,29,29,Correct,0.2173
user_16ec2910,12,12,Correct,0.7956
user_16ee8656,17,17,Correct,0.9230
user_173904d3,23,27,Wrong,0.3590
user_17434b05,24,25,Wrong,0.2796
user_17438322,15,15,Correct,0.9779
user_17a3238b,1,1,Correct,0.3908
user_17c76b7e,0,0,Correct,0.8272
user_1806ab04,13,13,Correct,0.3884
user_1824d39a,25,27,Wrong,0.1605
user_1852c07a,1,1,Correct,0.7489
user_18742cc9,27,27,Correct,0.3575
user_18ae012e,23,14,Wrong,0.2700
user_18c1d5c8,23,9,Wrong,0.1759
user_18ec49ca,30,29,Wrong,0.1119
user_192f2b0f,28,26,Wrong,0.2076
user_1935b6af,6,6,Correct,0.8317
user_194fb073,22,22,Correct,0.2470
user_197913f0,21,30,Wrong,0.1832
user_198df9d2,9,9,Correct,0.9100
user_19958b0c,20,24,Wrong,0.1570
user_19abc2b9,18,30,Wrong,0.7828
user_19f70549,23,27,Wrong,0.2209
user_1a0fcd0e,21,14,Wrong,0.1076
user_1acc663a,22,31,Wrong,0.8821
user_1ada5d12,29,27,Wrong,0.2863
user_1af92003,18,18,Correct,0.0951
user_1b0b0723,20,20,Correct,0.8589
user_1b0ce8a4,10,2,Wrong,0.2275
user_1b3d292e,24,24,Correct,0.2626
user_1b463262,1,1,Correct,0.8792
user_1b47273a,10,11,Wrong,0.4379
user_1b4c5e12,23,2,Wrong,0.1697
user_1b61c9b9,24,24,Correct,0.3096
user_1b6ae0d5,17,17,Correct,0.3343
user_1bad49c0,28,21,Wrong,0.1482
user_1bb3825e,27,29,Wrong,0.1867
user_1c32c2e4,14,14,Correct,0.1183
user_1c35dac9,0,6,Wrong,0.0726
user_1c6ba587,7,12,Wrong,0.0681
user_1c826c2c,0,2,Wrong,0.4516
user_1cb9884c,5,14,Wrong,0.4525
user_1cc40b1e,5,4,Wrong,0.4511
user_1ceddf8e,17,19,Wrong,0.3194
user_1d83eff1,11,11,Correct,0.5951
user_1d926c1b,9,14,Wrong,0.4055
user_1d9e4400,15,15,Correct,0.1876
user_1dd18c66,13,11,Wrong,0.2509
user_1dd258bc,7,7,Correct,0.5070
user_1df16b0d,20,20,Correct,0.5024
user_1e0d7389,3,3,Correct,0.0875
user_1e22f6a5,15,15,Correct,0.9060
user_1e6588ad,10,7,Wrong,0.0861
user_1e81eb60,8,8,Correct,0.9170
user_1e9fb0be,14,14,Correct,0.8208
user_1ea31c40,28,25,Wrong,0.1537
user_1ed72756,21,26,Wrong,0.1511
user_1f15e428,30,30,Correct,0.5447
user_1f1f8172,17,17,Correct,0.9813
user_1f45fe10,26,26,Correct,0.1931
user_1f8c84d9,7,7,Correct,0.5484
user_1fcf1cf9,25,26,Wrong,0.1993
user_1fe04650,9,7,Wrong,0.0985
user_1fed76a4,24,24,Correct,0.2910
user_20654904,17,17,Correct,0.5133
user_207d96b2,0,0,Correct,0.2896
user_209f9da7,24,24,Correct,0.2323
user_20c5df26,25,25,Correct,0.2888
user_20cb19d7,18,18,Correct,0.6345
user_20cbbafe,14,14,Correct,0.7604
user_212f6e96,10,11,Wrong,0.0938
user_2132651a,0,2,Wrong,0.1243
user_216928f7,10,10,Correct,0.4543
user_216b9538,10,10,Correct,0.4987
user_2171626a,18,19,Wrong,0.5259
user_21751950,15,15,Correct,0.1468
user_21981af9,20,20,Correct,0.2918
user_21e51e80,22,5,Wrong,0.3054
user_228cb456,7,7,Correct,0.5710
user_22c2d4f5,18,19,Wrong,0.3133
user_230fa8fc,10,11,Wrong,0.4261
user_231afebe,9,9,Correct,0.8497
user_2337191e,13,11,Wrong,0.5853
user_235272f4,23,25,Wrong,0.4789
user_235a0479,25,23,Wrong,0.2242
user_23812f45,19,19,Correct,0.6376
user_2398b264,5,16,Wrong,0.5768
user_23c58825,7,14,Wrong,0.5547
user_23d3fa45,4,4,Correct,0.9310
user_23f6207a,27,22,Wrong,0.2813
user_24128d4b,29,29,Correct,0.8069
user_2445cb6b,12,20,Wrong,0.1248
user_245e4655,29,27,Wrong,0.3021
user_2463008c,18,6,Wrong,0.1216
user_2473c813,8,8,Correct,0.4034
user_247acf5f,18,19,Wrong,0.2686
user_249b6f03,19,18,Wrong,0.5459
user_24eb6c3d,27,26,Wrong,0.2146
user_24eda97b,25,28,Wrong,0.2893
user_2504bc29,13,13,Correct,0.8244
user_257ddaa5,5,24,Wrong,0.1764
user_258c6ed5,29,30,Wrong,0.1226
user_25908f1a,17,17,Correct,0.2378
user_25d46f1e,25,21,Wrong,0.2435
user_25ecff25,19,14,Wrong,0.1095
user_2607131a,23,27,Wrong,0.4040
user_26078174,14,14,Correct,0.6577
user_2646fb92,0,1,Wrong,0.2280
user_2657a357,21,21,Correct,0.3282
user_2657d59d,10,13,Wrong,0.1545
user_266c3ac4,19,26,Wrong,0.1045
user_267a7c06,30,30,Correct,0.5894
user_2695b6bf,8,8,Correct,0.3534
user_26a71270,25,25,Correct,0.1925
user_26c35322,24,26,Wrong,0.1291
user_26d90802,6,6,Correct,0.4251
user_26da5680,24,24,Correct,0.4291
user_26ebf133,31,31,Correct,0.2190
user_270246b8,28,30,Wrong,0.8955
user_270a3e4f,21,25,Wrong,0.3027
user_2730789e,0,0,Correct,0.3525
user_2749ba52,0,0,Correct,0.3133
user_27645411,0,0,Correct,0.9651
user_277117a0,6,5,Wrong,0.1653
user_2781acaa,25,30,Wrong,0.0682
user_2782049d,21,21,Correct,0.2978
user_27820aba,7,7,Correct,0.0926
user_27830226,28,28,Correct,0.4983
user_27b2dd6b,9,7,Wrong,0.4739
user_27b53ad4,19,19,Correct,0.2531
user_27daf468,21,25,Wrong,0.2508
user_27e48271,18,13,Wrong,0.6958
user_2830c4c9,30,30,Correct,0.2734
user_2853a08e,18,18,Correct,0.6481
user_2860b535,19,4,Wrong,0.0661
user_286d407a,10,10,Correct,0.6251
user_28ce279b,16,16,Correct,0.1121
user_28f90bd2,9,11,Wrong,0.1290
user_292905b2,18,5,Wrong,0.1080
user_2942d514,9,11,Wrong,0.3967
user_2950e8c0,29,29,Correct,0.5049
user_295ab1b6,14,14,Correct,0.3262
user_296ba2be,23,26,Wrong,0.2182
user_299ca4bd,19,19,Correct,0.6958
user_29b9cbf6,13,13,Correct,0.3643
user_29df92fa,5,16,Wrong,0.1671
user_29f5c8a9,27,13,Wrong,0.3880
user_29fb422a,13,13,Correct,0.3551
user_2a18d812,3,3,Correct,0.9209
user_2a8f2648,8,10,Wrong,0.2085
user_2a96b10b,13,13,Correct,0.5835
user_2aa0c16e,1,1,Correct,0.1864
user_2ab6cc43,9,21,Wrong,0.1466
user_2ab9e39c,18,18,Correct,0.2555
user_2ac16518,22,22,Correct,0.3767
user_2ac3017f,1,7,Wrong,0.1218
user_2ae25ac0,22,21,Wrong,0.1084
user_2ae39601,4,9,Wrong,0.2714
user_2b0c5e38,4,4,Correct,0.8604
user_2b101cc6,18,19,Wrong,0.3775
user_2b297789,18,25,Wrong,0.1360
user_2b47a7f9,7,5,Wrong,0.2550
user_2b6ec9b5,20,22,Wrong,0.2794
user_2b714046,12,12,Correct,0.9658
user_2be39d7b,20,20,Correct,0.2567
user_2c2c3c1b,23,21,Wrong,0.5018
user_2c33091f,7,16,Wrong,0.0572
user_2c407267,14,20,Wrong,0.0931
user_2c5739d4,9,11,Wrong,0.9396
user_2c60f000,30,26,Wrong,0.2722
user_2cb8e6ac,0,0,Correct,0.7396
user_2cd0bf7f,0,0,Correct,0.7586
user_2cf3ebdf,2,3,Wrong,0.1751
user_2d1473fa,23,21,Wrong,0.2040
user_2d2553d7,7,15,Wrong,0.1041
user_2d61a99f,27,23,Wrong,0.9032
user_2d66ed74,31,5,Wrong,0.1633
user_2d70e9eb,30,31,Wrong,0.8369
user_2d902419,21,27,Wrong,0.0818
user_2db68c1c,25,26,Wrong,0.2498
user_2dd7f6f4,1,1,Correct,0.4430
user_2dded2bc,8,6,Wrong,0.2108
user_2de2fee6,9,9,Correct,0.8035
user_2de4b0fb,21,21,Correct,0.3421
user_2def1d0c,14,14,Correct,0.2165
user_2df5af28,20,27,Wrong,0.1604
user_2e08847c,9,7,Wrong,0.0999
user_2e2f5480,30,18,Wrong,0.1968
user_2e418529,23,21,Wrong,0.1288
user_2e43b083,0,0,Correct,0.3652
user_2e46b6ed,13,26,Wrong,0.1940
user_2e89374d,28,29,Wrong,0.0626
user_2eb68504,13,1,Wrong,0.5972
user_2ebd13d3,27,24,Wrong,0.1004
user_2f0b8784,21,20,Wrong,0.1660
user_2f100b60,6,6,Correct,0.2945
user_2f28cca9,9,11,Wrong,0.6896
user_2f3d3720,19,19,Correct,0.8937
user_2f49b702,17,18,Wrong,0.9462
user_2f8bbecc,8,23,Wrong,0.0869
user_3032fc8c,25,26,Wrong,0.1717
user_306796d1,12,17,Wrong,0.8351
user_30866f11,24,25,Wrong,0.2488
user_308b738f,29,23,Wrong,0.1519
user_3105dc6a,27,30,Wrong,0.2520
user_310af2fe,1,7,Wrong,0.1697
user_310d8c76,30,30,Correct,0.6703
user_31221597,19,19,Correct,0.2696
user_312e8b79,25,23,Wrong,0.2301
user_315d29f2,19,11,Wrong,0.1181
user_316f17c5,1,1,Correct,0.5169
user_3236f45c,15,15,Correct,0.9352
user_324e16b9,18,19,Wrong,0.5818
user_32557fc1,25,25,Correct,0.2840
user_325a147d,0,0,Correct,0.3906
user_3261ea1d,3,3,Correct,0.2493
user_32648043,1,1,Correct,0.0787
user_32c96cdd,28,30,Wrong,0.2895
user_32d5ca3c,0,3,Wrong,0.5323
user_32ec2958,18,18,Correct,0.2239
user_32fbf32e,0,0,Correct,0.6498
user_332253b1,31,26,Wrong,0.0801
user_3333a61b,13,11,Wrong,0.1116
user_333c2598,10,10,Correct,0.4531
user_3351df96,11,11,Correct,0.2798
user_33639952,14,3,Wrong,0.6469
user_33b2a4de,15,15,Correct,0.9274
user_33e63ace,19,19,Correct,0.3161
user_33e8dc8e,27,27,Correct,0.2667
user_33fa9f87,7,2,Wrong,0.0815
user_34144e4b,17,5,Wrong,0.0837
user_3459e5f5,5,13,Wrong,0.1784
user_34608923,31,7,Wrong,0.0988
user_34b503db,23,31,Wrong,0.7100
user_34c0876f,0,3,Wrong,0.2164
user_350cd58e,20,20,Correct,0.3579
user_356fbf87,29,27,Wrong,0.4820
user_35841c9d,19,19,Correct,0.2135
user_35c0eecf,18,19,Wrong,0.3388
user_35c9a8bc,16,16,Correct,0.7430
user_361d185d,10,10,Correct,0.1942
user_361e6af5,5,10,Wrong,0.1080
user_3640e99a,18,15,Wrong,0.2019
user_3646d71a,10,10,Correct,0.5197
user_36607a99,31,18,Wrong,0.1770
user_3680708d,17,17,Correct,0.3710
user_36aebdd0,10,10,Correct,0.0678
user_36ee45f9,26,29,Wrong,0.1676
user_374c4046,10,10,Correct,0.3431
user_3761e30b,11,11,Correct,0.1746
user_3762ef4e,5,4,Wrong,0.9604
user_379cbcab,17,17,Correct,0.2170
user_3806c97f,26,1,Wrong,0.2091
user_38878baf,29,29,Correct,0.3815
user_392d3596,27,29,Wrong,0.0887
user_392edeb4,11,14,Wrong,0.1223
user_3946ebc6,25,26,Wrong,0.1748
user_3969b5e3,17,31,Wrong,0.0677
user_39808b79,17,16,Wrong,0.6393
user_3998f7c7,30,30,Correct,0.8385
user_39a3e6eb,16,16,Correct,0.1880
user_39be2551,25,24,Wrong,0.1817
user_39dd7c7b,5,5,Correct,0.1478
user_39e43999,11,11,Correct,0.3924
user_39eac494,15,20,Wrong,0.2343
user_3b191d70,22,18,Wrong,0.4777
user_3b29fdf2,18,18,Correct,0.1898
user_3b2c7aeb,27,28,Wrong,0.1724
user_3b4c3408,22,22,Correct,0.9518
user_3b59b7cc,3,0,Wrong,0.0495
user_3b6ca990,7,14,Wrong,0.1490
user_3becd313,4,5,Wrong,0.1489
user_3bf13a8e,10,27,Wrong,0.0758
user_3bf6bb53,28,28,Correct,0.5352
user_3c3f837e,18,19,Wrong,0.6972
user_3c646e37,25,26,Wrong,0.2858
user_3c765048,30,0,Wrong,0.1346
user_3c7a9cac,26,7,Wrong,0.6585
user_3c8c59b5,31,21,Wrong,0.3511
user_3ca05352,15,15,Correct,0.9675
user_3ca67822,15,13,Wrong,0.8631
user_3cc9c070,25,25,Correct,0.1751
user_3cd890d7,18,19,Wrong,0.4808
user_3ce1ea01,8,8,Correct,0.2920
user_3cfc9572,19,17,Wrong,0.6744
user_3d07697f,14,14,Correct,0.3486
user_3d37f6e4,18,20,Wrong,0.3888
user_3d443e86,7,6,Wrong,0.0898
user_3d8a4912,25,25,Correct,0.2617
user_3d8ffebb,1,0,Wrong,0.2044
user_3db7f2ea,7,21,Wrong,0.1807
user_3dd104e2,28,29,Wrong,0.1213
user_3dd78b5f,6,13,Wrong,0.1058
user_3e12361a,17,17,Correct,0.2867
user_3e3d4fdf,28,21,Wrong,0.1564
user_3e643190,18,16,Wrong,0.3258
user_3e6a8847,4,9,Wrong,0.0638
user_3e9c46cf,17,17,Correct,0.4986
user_3ee8fbbe,24,25,Wrong,0.3208
user_3f020b40,18,14,Wrong,0.0580
user_3f65f650,2,3,Wrong,0.0851
user_3f6bb7e3,3,3,Correct,0.8435
user_3fbb0cf8,1,4,Wrong,0.9176
user_3fbca6e4,29,21,Wrong,0.1517
user_3fc8c5e6,18,18,Correct,0.6393
user_3fcd67d1,0,17,Wrong,0.1332
user_3fd46ab8,30,30,Correct,0.1022
user_3fdeac03,17,17,Correct,0.4761
user_3ff778f5,30,30,Correct,0.5157
user_4018b86c,22,22,Correct,0.4617
user_4033d6b0,30,28,Wrong,0.5436
user_404357f7,20,24,Wrong,0.1101
user_40674167,10,10,Correct,0.4739
user_407247b5,4,2,Wrong,0.1658
user_409cfb8b,0,7,Wrong,0.1005
user_40ad2fec,16,16,Correct,0.8910
user_4119a52d,11,9,Wrong,0.6078
user_41286261,21,21,Correct,0.2683
user_416e47cc,10,12,Wrong,0.2292
user_4195e0ac,18,18,Correct,0.4201
user_419688c2,15,15,Correct,0.7147
user_41b9a343,1,2,Wrong,0.1943
user_420df1a0,10,11,Wrong,0.0736
user_424c8519,14,14,Correct,0.5769
user_4257373e,13,20,Wrong,0.1249
user_425e6d8d,25,24,Wrong,0.2291
user_42a16831,4,5,Wrong,0.1632
user_42a63a6e,15,13,Wrong,0.4683
user_42aae31b,13,10,Wrong,0.2336
user_42f845e3,11,10,Wrong,0.4472
user_42f872d9,24,25,Wrong,0.1819
user_431086bc,8,3,Wrong,0.2829
user_4327513f,14,14,Correct,0.8084
user_43373514,16,10,Wrong,0.2229
user_43a9815a,24,24,Correct,0.3013
user_43bf6489,7,7,Correct,0.4017
user_43c5bad2,19,18,Wrong,0.0766
user_43f1a6b5,11,11,Correct,0.2426
user_43fca10f,7,3,Wrong,0.1650
user_4429c7ed,22,22,Correct,0.6435
user_446ba6d1,19,11,Wrong,0.0870
user_44b7e7f8,20,20,Correct,0.9479
user_44fefd7d,23,23,Correct,0.2135
user_45001069,0,1,Wrong,0.2973
user_450666df,25,24,Wrong,0.2069
user_450a49a8,24,24,Correct,0.1403
user_450dbb1f,14,2,Wrong,0.1099
user_450dbce1,3,3,Correct,0.8201
user_45362a87,24,24,Correct,0.2651
user_4538a087,7,12,Wrong,0.1678
user_453a081e,29,29,Correct,0.1709
user_454630bc,7,12,Wrong,0.1984
user_4551c58a,16,20,Wrong,0.1147
user_4558a6ac,21,25,Wrong,0.3569
user_455d6174,15,1,Wrong,0.1530
user_457f4681,21,17,Wrong,0.3421
user_4587a3c6,29,27,Wrong,0.1626
user_458d2689,4,4,Correct,0.3784
user_4592f3d9,13,9,Wrong,0.1791
user_45daa5a8,10,8,Wrong,0.9321
user_4605c869,13,16,Wrong,0.7199
user_460a5f50,18,19,Wrong,0.4769
user_461aadba,6,4,Wrong,0.4846
user_461f49ba,18,18,Correct,0.3594
user_4622eb24,28,25,Wrong,0.1711
user_463c17ca,10,11,Wrong,0.4200
user_46471887,14,14,Correct,0.1398
user_46740fae,18,18,Correct,0.3154
user_46852c58,10,11,Wrong,0.7495
user_46918ea3,1,4,Wrong,0.4509
user_46b72811,30,31,Wrong,0.7400
user_46c70ab5,1,1,Correct,0.1935
user_46cbf133,22,22,Correct,0.5945
user_46ed49ff,0,0,Correct,0.2644
user_47063e51,17,17,Correct,0.4158
user_4732900f,12,12,Correct,0.3377
user_4761edc3,5,1,Wrong,0.4281
user_477438c5,29,29,Correct,0.6957
user_4783bf98,25,26,Wrong,0.1537
user_479e73c9,7,20,Wrong,0.0907
user_47aac147,5,1,Wrong,0.1890
user_47b05242,30,30,Correct,0.8002
user_47b25f56,19,17,Wrong,0.3838
user_47e20517,25,25,Correct,0.3313
user_47e34c9c,0,0,Correct,0.3903
user_47e764df,5,14,Wrong,0.0737
user_481131d9,22,2,Wrong,0.1947
user_481bdd2d,11,11,Correct,0.2269
user_4820bae1,21,22,Wrong,0.2581
user_4839efc5,29,29,Correct,0.1363
user_484bf229,16,8,Wrong,0.1164
user_493d06fa,4,22,Wrong,0.2752
user_494f0774,4,5,Wrong,0.1092
user_497fcb02,0,0,Correct,0.8939
user_499c4c05,10,10,Correct,0.6101
user_499d86fb,21,21,Correct,0.2600
user_499db6e4,1,1,Correct,0.7913
user_499e982a,25,25,Correct,0.2290
user_49ca2625,11,11,Correct,0.2113
user_49e82ac6,10,11,Wrong,0.2505
user_49e91be3,23,26,Wrong,0.1526
user_4aa760d5,0,2,Wrong,0.0857
user_4aab802f,14,9,Wrong,0.1601
user_4aca03e7,23,23,Correct,0.4756
user_4ae0af75,15,14,Wrong,0.3378
user_4afbffaa,14,14,Correct,0.9249
user_4b04a2ef,16,13,Wrong,0.2036
user_4b07c67d,13,13,Correct,0.7109
user_4b0d16fa,0,2,Wrong,0.5578
user_4b102b56,13,31,Wrong,0.5110
user_4b47dbdc,22,8,Wrong,0.1936
user_4b7937db,20,20,Correct,0.5626
user_4be1a40b,28,25,Wrong,0.4351
user_4be30cce,9,8,Wrong,0.6577
user_4be8c844,8,5,Wrong,0.1070
user_4becb9db,18,19,Wrong,0.7318
user_4c2a27df,4,14,Wrong,0.6592
user_4c30d4e5,1,1,Correct,0.3167
user_4c846f33,29,26,Wrong,0.3862
user_4cc5a4cb,30,31,Wrong,0.8334
user_4cca0700,14,14,Correct,0.5543
user_4cd465d8,12,12,Correct,0.1778
user_4ce4fe7a,14,14,Correct,0.4161
user_4cf4c193,25,24,Wrong,0.1830
user_4d26951f,12,0,Wrong,0.1218
user_4d285c74,30,30,Correct,0.5311
user_4d51ccb2,25,26,Wrong,0.2270
user_4d894ab6,7,17,Wrong,0.0618
user_4d92bc40,7,7,Correct,0.1991
user_4e1a81c5,25,28,Wrong,0.2478
user_4e1ba69a,30,30,Correct,0.8180
user_4e20052d,4,4,Correct,0.4597
user_4e4a39dd,17,11,Wrong,0.1701
user_4ea4b6ce,23,19,Wrong,0.6323
user_4ecdcf5a,3,20,Wrong,0.1963
user_4f327446,29,27,Wrong,0.3372
user_4f44507b,14,14,Correct,0.1823
user_4f6e69b0,17,17,Correct,0.8757
user_4f72c677,25,29,Wrong,0.3097
user_4f76c6cd,18,14,Wrong,0.1828
user_4f891788,27,26,Wrong,0.1955
user_4f947fb0,1,12,Wrong,0.2043
user_4f9e2e25,15,14,Wrong,0.4825
user_4fa48ecd,11,8,Wrong,0.9695
user_4fbac3ff,23,24,Wrong,0.1993
user_4fcbde38,19,20,Wrong,0.2369
user_50317f7c,28,23,Wrong,0.2107
user_50615558,30,30,Correct,0.8891
user_5086a493,15,15,Correct,0.8367
user_50a5ce36,9,9,Correct,0.2114
user_50c9925d,0,1,Wrong,0.5610
user_50d6277a,17,17,Correct,0.9144
user_50f69b22,30,30,Correct,0.6082
user_51048016,9,9,Correct,0.6276
user_518b0640,9,8,Wrong,0.5243
user_518cf054,6,6,Correct,0.1122
user_519f5087,11,10,Wrong,0.6042
user_51a74bfc,5,31,Wrong,0.5272
user_51ac83e2,1,1,Correct,0.7888
user_522d810e,0,0,Correct,0.7902
user_523ab4f5,27,27,Correct,0.3298
user_524a859c,19,19,Correct,0.3242
user_529047f3,12,15,Wrong,0.9465
user_52b72b7f,14,14,Correct,0.9243
user_52eed52f,30,31,Wrong,0.9722
user_531dc01f,29,21,Wrong,0.2699
user_5335ac8e,31,31,Correct,0.3517
user_534496d1,18,18,Correct,0.1056
user_536537ce,15,22,Wrong,0.1974
user_5378f17e,15,18,Wrong,0.3080
user_5396dc89,5,4,Wrong,0.1608
user_539f3253,8,8,Correct,0.4018
user_53a003cc,18,19,Wrong,0.4471
user_53cc09bd,4,4,Correct,0.2959
user_54333ab1,17,17,Correct,0.8667
